query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_JDTH01000002.1_1229	WP_049971178.1@GCF_000710615.1	303	302	1.000	302	0	1	302	1	302	1.270E-246	763
JAIOOR010000024.1_57	MCE9653533.1@GCA_021414365.1	252	251	1.000	251	0	1	251	1	251	5.855E-191	600
JAKCFM010000002.1_30	JAKCFM010000002.1_30@GCA_025041195.1	851	851	1.000	850	0	1	850	1	850	0.000E+00	2146
NZ_CP099546.1_2862	WP_252698912.1@GCF_023973145.1	304	303	1.000	303	0	1	303	1	303	7.053E-251	775
NZ_AOIQ01000024.1_31	WP_083893876.1@GCF_000337515.1	301	300	1.000	300	0	1	300	1	300	2.054E-244	757
NC_017941.2_785	WP_004057439.1@GCF_000306765.2	291	290	1.000	290	0	1	290	1	290	2.193E-230	716
BGOU01000010.1_32	GBL42191.1@GCA_003569705.1	252	251	1.000	251	0	1	251	1	251	3.945E-190	597
CACIXQ010000007.1_17	CACHDH010000007.1_5@GCA_902578515.1	251	257	0.976	250	6	1	250	7	256	3.426E-189	595
JACZSC010000088.1_3	MCH8834010.1@GCA_022574415.1	249	248	1.000	248	0	1	248	1	248	2.653E-189	595
NZ_CP085335.1_889	WP_227376033.1@GCF_020618475.1	302	301	1.000	301	0	1	301	1	301	7.437E-245	758
NZ_CP021324.1_650	WP_086907417.1@GCF_002156965.1	251	250	1.000	250	0	1	250	1	250	5.152E-191	600
NZ_CP095757.1_3542	WP_247729935.1@GCF_023093535.1	245	244	1.000	244	0	1	244	1	244	1.568E-188	592
NZ_LIUF01000002.1_453	WP_155119940.1@GCF_001280425.1	307	306	1.000	306	0	1	306	1	306	4.348E-242	751
NZ_PHNJ01000001.1_372	WP_148856128.1@GCF_008122205.1	208	207	1.000	207	0	1	207	1	207	1.013E-168	531
JAATVK010000203.1_6	JAATVK010000203.1_6@GCA_014523485.1	396	396	1.000	395	0	1	395	1	395	7.977E-318	976
JACASX010000001.1_194	NWK04644.1@GCA_013390745.1	253	252	1.000	252	0	1	252	1	252	2.174E-193	607
LIAL01000012.1_16	KRO29845.1@GCA_001437625.1	251	250	1.000	250	0	1	250	1	250	5.085E-190	597
CP060262.1_2224	UNM07427.1@GCA_022646745.1	344	343	1.000	343	0	1	343	1	343	1.511E-265	822
JAEFCZ010000037.1_38	WP_012215345.1@GCF_000018465.1	251	250	0.960	250	10	1	250	1	250	1.491E-184	582
NZ_JAALLS010000018.1_24	WP_165269867.1@GCF_011059105.1	284	283	1.000	283	0	1	283	1	283	1.180E-222	693
LUPB01000013.1_2	LUPB01000013.1_2@GCA_001627235.1	253	253	1.000	252	0	1	252	1	252	2.174E-193	607
NZ_AOLJ01000011.1_106	WP_004972615.1@GCF_000336775.1	291	290	1.000	290	0	1	290	1	290	1.534E-232	722
